ID,Free Time Activities,Successful_Project,Recognition_Awards,Easy_Tasks,Feedback_Talent,Learn_Improve_Skill,Problem_Solving,Energizing_Tasks,Talents
10,"Dancing, Cooking, Playing Soccer",Painted a landscape with vibrant colors,Featured in a pottery exhibition at a local gallery,Has a natural talent for shaping clay,Solved a difficult level puzzle by devising a unique strategy,Excelled in Ceramics and Geography classes,Excelled in Art classes,Gaming,knitting
13,"Graphic Designing, Cooking, Playing Guitar",Experimented with fusion cuisine recipes,Won a local baking competition,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds knitting while listening to audiobooks relaxing,Exploring new painting techniques and styles,Dancing
5,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Won a local baking competition,Has a good sense of timing when cooking multiple dishes simultaneously,Used innovative techniques to repair a damaged sculpture,Excelled in Textile Arts classes,Finds writing in a cozy cafe with ambient noise inspiring,baking,sculpting
13,"Gaming, Reading",Designed an app interface with a user-friendly design,Received accolades for clean and modern design styleDesign and Music classes,Finds crafting compelling narratives effortless,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds cooking to be a creative outlet,Gaming,Dancing
4,"Painting,cooking , playing musical instrument",Won first place in a regional eSports tournament,Received MVP (Most Valuable Player) award,Has a natural talent for shaping clay,Solved a design problem by incorporating artistic elements,Excelled in Photography and Music classes,Finds writing in a cozy cafe with ambient noise inspiring,Gaming,Dancing
16,"Photography, Hiking, Playing Piano",Designed an app interface with a user-friendly design,Received accolades for photography portfolio,Finds throwing clay on a pottery wheel relaxing,Used innovative techniques to repair a damaged sculpture,Excelled in Ceramics and Geography classes,Finds sculpting outdoors surrounded by nature inspiring,sculpting,writing
11,"Baking, Painting, Yoga,",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Used innovative techniques to repair a damaged sculpture,Excelled in Art and History classes,Finds photography during golden hour exhilarating,"Cooking, Gaming",Dancing
10,"Sculpting, Gardening, Playing Guitar",Knitted a sweater for charity fundraiser,Received accolades for photography portfolio,Dancing feels effortless and joyful,Solved a performance hiccup by improvising on stage,Excelled in Art and History classes,Finds writing in a cozy cafe with ambient noise inspiring,photography,Dancing
10,"Pottery, Cooking, Traveling",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Dancing feels effortless and joyful,Solved a performance hiccup by improvising on stage,Excelled in Textile Arts classes,Participating in gaming competitions with friends,"Programming, Writing",baking
10,"Photography, Hiking, Playing Piano",Choreographed a dance routine for a school talent show,Won a local baking competition,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to capture a difficult shot,Enjoyed Home Economics and Art classes the most,Finds writing in a cozy cafe with ambient noise inspiring,photography,Dancing
1,"Gaming, Reading",Painted a landscape with vibrant colors,Best Artist of the Year,Quickly adapts to new gaming mechanics,Solved a difficult level puzzle by devising a unique strategy,Excelled in English and Dance classes,Participating in gaming competitions with friends,Gaming,Gaming
13,"Cooking, Gaming, Writing",Captured breathtaking landscapes during a hiking trip,Featured in a pottery exhibition at a local gallery,Painting comes naturally to me,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds writing in a cozy cafe with ambient noise inspiring,pottery,pottery
22,"Dancing, Cooking, Playing Soccer",Contributed code to an open-source project used by thousands,"Received ""Knitter of the Year"" Award",Quickly adapts to new gaming mechanics,Used innovative techniques to repair a damaged sculpture,Excelled in Ceramics and Geography classes,Experimenting with machine learning algorithms,writing,Dancing
7,"Graphic Designing, Cooking, Playing Guitar",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Finds knitting stitch patterns intuitive,Solved a critical bug with minimal downtime,,Finds pottery workshops with fellow artists stimulating,pottery,writing
12,"Knitting, Reading, Hiking",Knitted a sweater for charity fundraiser,Received accolades for clean and modern design styleDesign and Music classes,Painting comes naturally to me,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds experimenting with new baking recipes exciting,baking,painting
11,"Pottery, Cooking, Traveling",Contributed code to an open-source project used by thousands,Received recognition for realistic sculpting style,Finds decorating cakes with intricate designs effortless,Used creative problem-solving to salvage a baking mishap,Excelled in Ceramics and Geography classes,Finds sculpting outdoors surrounded by nature inspiring,"Cooking, Gaming",painting
4,"Dancing, Cooking, Playing Soccer",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Finds knitting stitch patterns intuitive,Solved a difficult level puzzle by devising a unique strategy,,Finds knitting while listening to audiobooks relaxing,Exploring new painting techniques and styles,painting
22,"Graphic Designing, Cooking, Playing Guitar",Created a set of handcrafted ceramic mugs,Received accolades for clean and modern design styleDesign and Music classes,Has an eye for composition and lighting,Solved a critical bug with minimal downtime,Excelled in Ceramics and Geography classes,Finds cooking to be a creative outlet,photography,Dancing
9,"Pottery, Cooking, Traveling",Sculpted a lifelike bust of a historical figure,Received recognition for realistic sculpting style,Can easily create vector graphics from scratch,Used creative problem-solving to overcome writer's block,Excelled in Photography and Music classes,Finds experimenting with new baking recipes exciting,"Programming, Writing",Dancing
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Has a good sense of timing when cooking multiple dishes simultaneously,Solved a critical bug with minimal downtime,Excelled in Textile Arts classes,Experimenting with machine learning algorithms,"Programming, Writing",Programming
12,"Knitting, Reading, Hiking",Baked a multi-tiered wedding cake from scratch,Received accolades for clean and modern design styleDesign and Music classes,Finds crafting compelling narratives effortless,Solved a knitting pattern challenge by creating a customized design,Excelled in Ceramics and Geography classes,Experimenting with machine learning algorithms,sculpting,Gaming
